Gender,Size,Color,Dress Category,Dress name,Dress type,color,Pattern,Navigation,Description,Price,Offers
Male,S,Black,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with black Skin tone.",1000,10%
Male,S,Black,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.",,1100,15%
Male,S,Black,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with black Skin tone.",1200,20%
Male,S,Black,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn ri  ght, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with black Skin tone.",1300,25%
Male,S,Brown,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with brown Skin tone.",1000,10%
Male,S,Brown,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with brown Skin tone.",1100,15%
Male,S,Brown,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with brown Skin tone.",1200,20%
Male,S,Brown,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with brown Skin tone.",1300,25%
Male,S,White,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with white Skin tone.",1000,10%
Male,S,White,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with white Skin tone.",1100,15%
